iid,id,gender,condtn,wave,round,order,partner,pid,match,dec_o,dec
158,1,1,2,7,16,8,16,157,0,0,1
142,1,0,2,7,16,1,1,158,0,1,0
142,1,0,2,7,16,2,2,159,1,1,1
142,1,0,2,7,16,7,3,160,0,0,1
142,1,0,2,7,16,3,4,161,0,0,1
142,1,0,2,7,16,12,5,162,0,0,1
142,1,0,2,7,16,15,6,163,0,0,1
142,1,0,2,7,16,6,7,164,0,0,1
142,1,0,2,7,16,14,8,165,0,0,0
142,1,0,2,7,16,8,9,166,0,0,0
142,1,0,2,7,16,16,10,167,1,1,1
142,1,0,2,7,16,11,11,168,1,1,1
142,1,0,2,7,16,5,12,169,1,1,1
142,1,0,2,7,16,4,13,170,0,1,0
142,1,0,2,7,16,9,14,171,1,1,1
142,1,0,2,7,16,13,15,172,1,1,1
142,1,0,2,7,16,10,16,173,1,1,1
184,1,1,1,8,10,9,1,174,1,1,1
184,1,1,1,8,10,8,2,175,0,1,0
184,1,1,1,8,10,5,3,176,1,1,1
184,1,1,1,8,10,2,4,177,0,1,0
184,1,1,1,8,10,6,5,178,0,0,1
184,1,1,1,8,10,7,6,179,0,0,1
184,1,1,1,8,10,10,7,180,1,1,1
184,1,1,1,8,10,3,8,181,0,1,0
184,1,1,1,8,10,4,9,182,0,1,0
184,1,1,1,8,10,1,10,183,1,1,1
174,1,0,1,8,10,9,1,184,1,1,1
174,1,0,1,8,10,5,2,185,0,0,0
174,1,0,1,8,10,8,3,186,0,0,1
174,1,0,1,8,10,1,4,187,1,1,1
174,1,0,1,8,10,10,5,188,0,0,1
174,1,0,1,8,10,4,6,189,0,0,1
174,1,0,1,8,10,6,7,190,0,0,1
174,1,0,1,8,10,2,8,191,0,0,1
174,1,0,1,8,10,3,9,192,0,0,1
174,1,0,1,8,10,7,10,193,0,0,1
214,1,1,2,9,20,18,1,194,0,1,0
214,1,1,2,9,20,2,2,195,0,0,0
214,1,1,2,9,20,1,3,196,1,1,1
214,1,1,2,9,20,19,4,197,0,0,1
214,1,1,2,9,20,10,5,198,0,0,0
214,1,1,2,9,20,15,6,199,0,0,1
214,1,1,2,9,20,14,7,200,0,0,1
214,1,1,2,9,20,5,8,201,0,0,1
214,1,1,2,9,20,8,9,202,0,0,1
214,1,1,2,9,20,7,10,203,0,0,1
214,1,1,2,9,20,13,11,204,0,0,1
214,1,1,2,9,20,9,12,205,0,0,1
214,1,1,2,9,20,12,13,206,0,0,0
214,1,1,2,9,20,20,14,207,0,0,1
214,1,1,2,9,20,11,15,208,0,0,1
214,1,1,2,9,20,16,16,209,0,0,0
214,1,1,2,9,20,17,17,210,1,1,1
214,1,1,2,9,20,3,18,211,0,0,1
214,1,1,2,9,20,6,19,212,0,0,1
214,1,1,2,9,20,4,20,213,0,0,1
194,1,0,2,9,20,18,1,214,0,0,1
194,1,0,2,9,20,20,2,215,0,0,1
194,1,0,2,9,20,7,3,216,0,0,0
194,1,0,2,9,20,13,4,217,0,0,1
194,1,0,2,9,20,4,5,218,0,0,1
194,1,0,2,9,20,1,6,219,0,0,1
194,1,0,2,9,20,9,7,220,0,0,0
194,1,0,2,9,20,16,8,221,1,1,1
194,1,0,2,9,20,11,9,222,0,0,0
194,1,0,2,9,20,5,10,223,0,1,0
194,1,0,2,9,20,3,11,224,0,0,1
194,1,0,2,9,20,8,12,225,0,0,0
194,1,0,2,9,20,2,13,226,0,0,1
194,1,0,2,9,20,19,14,227,0,0,1
194,1,0,2,9,20,14,15,228,0,0,0
194,1,0,2,9,20,17,16,229,0,0,1
194,1,0,2,9,20,6,17,230,0,0,0
194,1,0,2,9,20,15,18,231,0,0,1
194,1,0,2,9,20,10,19,232,0,0,0
194,1,0,2,9,20,12,20,233,0,1,0
243,1,1,1,10,9,7,1,234,0,0,1
243,1,1,1,10,9,9,2,235,1,1,1
243,1,1,1,10,9,1,3,236,0,1,0
243,1,1,1,10,9,2,4,237,0,0,1
243,1,1,1,10,9,6,5,238,0,1,0
243,1,1,1,10,9,5,6,239,0,1,0
243,1,1,1,10,9,4,7,240,0,1,0
243,1,1,1,10,9,8,8,241,1,1,1
243,1,1,1,10,9,3,9,242,1,1,1
234,1,0,1,10,9,7,1,243,0,1,0
234,1,0,1,10,9,4,2,244,0,0,1
234,1,0,1,10,9,6,3,245,0,1,0
234,1,0,1,10,9,2,4,246,0,0,0
234,1,0,1,10,9,9,5,247,0,1,0
234,1,0,1,10,9,3,6,248,0,0,0
234,1,0,1,10,9,5,7,249,0,1,0
234,1,0,1,10,9,1,8,250,0,0,1
234,1,0,1,10,9,8,9,251,0,0,1
273,1,1,2,11,21,10,1,252,0,1,0
273,1,1,2,11,21,17,2,253,0,0,0
273,1,1,2,11,21,4,3,254,0,0,1
273,1,1,2,11,21,5,4,255,0,0,0
273,1,1,2,11,21,20,5,256,0,0,0
273,1,1,2,11,21,3,6,257,0,0,0
273,1,1,2,11,21,18,7,258,0,0,0
273,1,1,2,11,21,14,8,259,0,1,0
273,1,1,2,11,21,21,9,260,0,0,0
273,1,1,2,11,21,16,10,261,0,0,0
273,1,1,2,11,21,9,11,262,0,1,0
273,1,1,2,11,21,6,12,263,0,1,0
273,1,1,2,11,21,7,13,264,0,0,0
273,1,1,2,11,21,11,14,265,0,1,0
273,1,1,2,11,21,2,15,266,0,0,1
273,1,1,2,11,21,13,16,267,0,0,0
273,1,1,2,11,21,1,17,268,1,1,1
273,1,1,2,11,21,12,18,269,0,0,1
273,1,1,2,11,21,15,19,270,0,1,0
273,1,1,2,11,21,8,20,271,0,0,0
273,1,1,2,11,21,19,21,272,0,0,0
252,1,0,2,11,21,10,1,273,0,0,1
252,1,0,2,11,21,12,2,274,1,1,1
252,1,0,2,11,21,4,3,275,0,1,0
252,1,0,2,11,21,17,4,276,0,1,0
252,1,0,2,11,21,18,5,277,0,0,0
252,1,0,2,11,21,11,6,278,0,1,0
252,1,0,2,11,21,13,7,279,0,0,1
252,1,0,2,11,21,3,8,280,0,0,0
252,1,0,2,11,21,1,9,281,0,1,0
252,1,0,2,11,21,21,10,282,0,1,0
252,1,0,2,11,21,20,11,283,0,1,0
252,1,0,2,11,21,2,12,284,0,0,0
252,1,0,2,11,21,15,13,285,0,1,0
252,1,0,2,11,21,5,14,286,0,0,0
252,1,0,2,11,21,6,15,287,0,1,0
252,1,0,2,11,21,7,16,288,0,0,0
252,1,0,2,11,21,8,17,289,0,0,1
252,1,0,2,11,21,16,18,290,0,0,0
252,1,0,2,11,21,9,19,291,1,1,1
252,1,0,2,11,21,19,20,292,0,0,1
252,1,0,2,11,21,14,21,293,0,1,0
308,1,1,2,12,14,6,1,294,0,0,1
308,1,1,2,12,14,5,2,295,0,0,1
308,1,1,2,12,14,12,3,296,0,0,1
308,1,1,2,12,14,11,4,297,1,1,1
308,1,1,2,12,14,14,5,298,0,0,1
308,1,1,2,12,14,4,6,299,0,0,1
308,1,1,2,12,14,7,7,300,0,0,0
308,1,1,2,12,14,3,8,301,0,0,0
308,1,1,2,12,14,13,10,302,0,0,0
308,1,1,2,12,14,2,11,303,0,0,0
308,1,1,2,12,14,8,12,304,0,0,0
308,1,1,2,12,14,1,13,305,0,0,0
308,1,1,2,12,14,9,14,306,0,0,0
308,1,1,2,12,14,10,15,307,0,0,1
294,1,0,2,12,14,6,1,308,0,1,0
294,1,0,2,12,14,9,2,309,0,0,0
294,1,0,2,12,14,2,3,310,0,0,0
294,1,0,2,12,14,11,4,311,0,0,0
294,1,0,2,12,14,5,5,312,0,1,0
294,1,0,2,12,14,13,6,313,0,0,0
294,1,0,2,12,14,14,7,314,0,1,0
294,1,0,2,12,14,1,8,315,0,1,0
294,1,0,2,12,14,3,9,316,1,1,1
294,1,0,2,12,14,7,10,317,0,1,0
294,1,0,2,12,14,4,11,318,0,1,0
294,1,0,2,12,14,10,12,319,0,1,0
294,1,0,2,12,14,8,13,320,0,1,0
294,1,0,2,12,14,12,14,321,0,0,0
332,1,1,1,13,10,8,1,322,0,0,0
332,1,1,1,13,10,2,2,323,1,1,1
332,1,1,1,13,10,1,3,324,1,1,1
332,1,1,1,13,10,3,4,325,0,1,0
332,1,1,1,13,10,10,5,326,0,1,0
332,1,1,1,13,10,6,6,327,0,0,1
332,1,1,1,13,10,9,7,328,0,0,1
332,1,1,1,13,10,7,8,329,0,0,0
332,1,1,1,13,10,4,9,330,0,0,0
332,1,1,1,13,10,5,10,331,0,0,0
322,1,0,1,13,9,7,1,332,0,0,0
322,1,0,1,13,9,6,2,333,0,0,1
322,1,0,1,13,9,4,3,334,0,0,0
322,1,0,1,13,9,9,4,335,0,0,0
322,1,0,1,13,9,5,5,336,0,0,0
322,1,0,1,13,9,2,6,337,1,1,1
322,1,0,1,13,9,3,7,338,0,0,0
322,1,0,1,13,9,1,8,339,1,1,1
322,1,0,1,13,9,8,9,340,0,0,1
361,1,1,2,14,20,2,1,341,0,0,0
361,1,1,2,14,20,19,2,342,0,0,0
361,1,1,2,14,20,5,3,343,1,1,1
361,1,1,2,14,20,6,4,344,0,1,0
361,1,1,2,14,20,14,5,345,0,0,0
361,1,1,2,14,20,7,6,346,0,0,0
361,1,1,2,14,20,11,7,347,0,0,0
361,1,1,2,14,20,13,8,348,0,1,0
361,1,1,2,14,20,4,9,349,0,0,0
361,1,1,2,14,20,20,10,350,0,0,1
361,1,1,2,14,20,8,11,351,0,0,0
361,1,1,2,14,20,9,12,352,0,0,0
361,1,1,2,14,20,10,13,353,0,0,0
361,1,1,2,14,20,16,14,354,0,0,0
361,1,1,2,14,20,17,15,355,0,0,0
361,1,1,2,14,20,1,16,356,0,0,0
361,1,1,2,14,20,3,17,357,0,0,0
361,1,1,2,14,20,15,18,358,0,0,0
361,1,1,2,14,20,12,19,359,0,1,0
361,1,1,2,14,20,18,20,360,0,0,0
341,1,0,2,14,18,2,1,361,0,0,0
341,1,0,2,14,18,14,2,362,0,1,0
341,1,0,2,14,18,11,3,363,0,1,0
341,1,0,2,14,18,13,4,364,0,1,0
341,1,0,2,14,18,9,5,365,0,1,0
341,1,0,2,14,18,12,6,366,1,1,1
341,1,0,2,14,18,5,7,367,0,0,1
341,1,0,2,14,18,3,8,368,1,1,1
341,1,0,2,14,18,7,9,369,0,0,0
341,1,0,2,14,18,1,10,370,0,0,0
341,1,0,2,14,18,4,11,371,1,1,1
341,1,0,2,14,18,17,12,372,0,0,0
341,1,0,2,14,18,18,13,373,0,0,0
341,1,0,2,14,18,10,14,374,0,0,0
341,1,0,2,14,18,6,15,375,0,0,1
341,1,0,2,14,18,8,16,376,0,0,0
341,1,0,2,14,18,15,17,377,0,0,0
341,1,0,2,14,18,16,18,378,0,0,0
397,1,1,2,15,18,4,1,379,0,0,1
397,1,1,2,15,18,1,2,380,0,1,0
397,1,1,2,15,18,2,3,381,0,0,0
397,1,1,2,15,18,14,4,382,0,0,1
397,1,1,2,15,18,5,5,383,1,1,1
397,1,1,2,15,18,13,6,384,0,0,1
397,1,1,2,15,18,9,7,385,0,0,1
397,1,1,2,15,18,11,8,386,1,1,1
397,1,1,2,15,18,10,9,387,0,0,1
397,1,1,2,15,18,6,10,388,0,0,1
397,1,1,2,15,18,17,11,389,0,0,1
397,1,1,2,15,18,15,12,390,0,1,0
397,1,1,2,15,18,7,13,391,0,0,1
397,1,1,2,15,18,12,14,392,0,0,1
397,1,1,2,15,18,18,15,393,1,1,1
397,1,1,2,15,18,16,16,394,0,0,1
397,1,1,2,15,18,8,17,395,0,0,0
397,1,1,2,15,18,3,18,396,0,1,0
379,1,0,2,15,19,4,1,397,0,1,0
379,1,0,2,15,19,14,2,398,0,0,0
379,1,0,2,15,19,18,3,399,0,0,0
379,1,0,2,15,19,16,4,400,1,1,1
379,1,0,2,15,19,13,5,401,0,0,0
379,1,0,2,15,19,19,6,402,1,1,1
379,1,0,2,15,19,12,7,403,0,1,0
379,1,0,2,15,19,10,8,404,0,1,0
379,1,0,2,15,19,2,9,405,0,0,1
379,1,0,2,15,19,9,10,406,0,1,0
379,1,0,2,15,19,3,11,407,0,0,1
379,1,0,2,15,19,1,12,408,0,1,0
379,1,0,2,15,19,11,13,409,0,0,0
379,1,0,2,15,19,17,14,410,0,1,0
379,1,0,2,15,19,7,15,411,0,0,1
379,1,0,2,15,19,6,16,412,0,0,0
379,1,0,2,15,19,5,17,413,0,0,0
379,1,0,2,15,19,15,18,414,0,1,0
379,1,0,2,15,19,8,19,415,0,1,0
422,1,1,1,16,6,2,1,416,1,1,1
422,1,1,1,16,6,6,2,417,1,1,1
422,1,1,1,16,6,5,3,418,0,0,1
422,1,1,1,16,6,4,4,419,1,1,1
422,1,1,1,16,6,3,5,420,1,1,1
422,1,1,1,16,6,1,6,421,0,1,0
416,1,0,1,16,8,2,1,422,1,1,1
416,1,0,1,16,8,3,2,423,1,1,1
416,1,0,1,16,8,6,3,424,1,1,1
416,1,0,1,16,8,1,4,425,0,1,0
416,1,0,1,16,8,4,5,426,1,1,1
416,1,0,1,16,8,7,6,427,0,0,0
416,1,0,1,16,8,5,7,428,1,1,1
416,1,0,1,16,8,8,8,429,1,1,1
440,1,1,2,17,11,5,1,430,0,0,0
440,1,1,2,17,11,6,2,431,0,0,0
440,1,1,2,17,11,7,3,432,0,1,0
440,1,1,2,17,11,1,4,433,0,0,0
440,1,1,2,17,11,2,5,434,0,0,0
440,1,1,2,17,11,4,6,435,0,1,0
440,1,1,2,17,11,3,7,436,0,1,0
440,1,1,2,17,11,8,8,437,0,1,0
440,1,1,2,17,11,9,9,438,0,1,0
440,1,1,2,17,11,10,10,439,0,0,0
430,1,0,2,17,14,6,1,440,0,0,0
430,1,0,2,17,14,3,2,441,0,1,0
430,1,0,2,17,14,4,3,442,0,1,0
430,1,0,2,17,14,13,4,443,0,1,0
430,1,0,2,17,14,12,5,444,0,0,0
430,1,0,2,17,14,11,6,445,0,0,0
430,1,0,2,17,14,5,7,446,0,1,0
430,1,0,2,17,14,8,8,447,0,0,0
430,1,0,2,17,14,2,9,448,0,1,0
430,1,0,2,17,14,1,10,449,0,1,0
430,1,0,2,17,14,7,11,450,0,1,0
430,1,0,2,17,14,10,12,451,0,1,0
430,1,0,2,17,14,14,13,452,0,1,0
430,1,0,2,17,14,9,14,453,0,0,0
460,1,1,1,18,6,1,1,454,0,1,0
460,1,1,1,18,6,6,2,455,0,1,0
460,1,1,1,18,6,5,3,456,1,1,1
460,1,1,1,18,6,4,4,457,0,1,0
460,1,1,1,18,6,3,5,458,0,1,0
460,1,1,1,18,6,2,6,459,0,0,0
454,1,0,1,18,6,1,1,460,0,0,1
454,1,0,1,18,6,2,2,461,0,1,0
454,1,0,1,18,6,6,3,462,0,1,0
454,1,0,1,18,6,3,4,463,0,0,0
454,1,0,1,18,6,4,5,464,0,0,1
454,1,0,1,18,6,5,6,465,0,1,0
481,1,1,2,19,15,4,1,466,0,0,0
481,1,1,2,19,15,11,2,467,1,1,1
481,1,1,2,19,15,7,3,468,0,0,1
481,1,1,2,19,15,6,4,469,0,0,0
481,1,1,2,19,15,14,5,470,0,0,0
481,1,1,2,19,15,13,6,471,0,0,0
481,1,1,2,19,15,2,7,472,0,1,0
481,1,1,2,19,15,10,8,473,0,0,0
481,1,1,2,19,15,9,9,474,0,0,1
481,1,1,2,19,15,1,10,475,0,0,1
481,1,1,2,19,15,15,11,476,0,0,0
481,1,1,2,19,15,5,12,477,0,0,0
481,1,1,2,19,15,3,14,478,0,0,1
481,1,1,2,19,15,8,15,479,0,0,1
481,1,1,2,19,15,12,16,480,0,0,1
466,1,0,2,19,15,4,1,481,0,0,0
466,1,0,2,19,15,5,2,482,0,0,0
466,1,0,2,19,15,12,3,483,0,0,0
466,1,0,2,19,15,3,4,484,0,1,0
466,1,0,2,19,15,15,5,485,0,1,0
466,1,0,2,19,15,2,6,486,0,1,0
466,1,0,2,19,15,11,7,487,0,1,0
466,1,0,2,19,15,6,8,488,0,1,0
466,1,0,2,19,15,7,9,489,0,1,0
466,1,0,2,19,15,13,10,490,0,1,0
466,1,0,2,19,15,8,11,491,0,1,0
466,1,0,2,19,15,1,12,492,0,0,0
466,1,0,2,19,15,9,13,493,0,0,0
466,1,0,2,19,15,10,14,494,0,1,0
466,1,0,2,19,15,14,15,495,0,1,0
502,1,1,1,20,6,5,1,496,0,0,1
502,1,1,1,20,6,1,2,497,0,0,1
502,1,1,1,20,6,2,3,498,0,0,1
502,1,1,1,20,6,6,4,499,0,0,1
502,1,1,1,20,6,3,5,500,0,0,1
502,1,1,1,20,6,4,6,501,0,0,1
496,1,0,1,20,7,6,1,502,0,1,0
496,1,0,1,20,7,2,2,503,0,1,0
496,1,0,1,20,7,1,4,504,0,1,0
496,1,0,1,20,7,7,5,505,1,1,1
496,1,0,1,20,7,5,6,506,0,1,0
496,1,0,1,20,7,4,7,507,0,0,1
496,1,0,1,20,7,3,8,508,0,1,0
531,1,1,2,21,22,8,1,509,0,0,1
531,1,1,2,21,22,21,2,510,0,0,0
531,1,1,2,21,22,2,3,511,0,1,0
531,1,1,2,21,22,16,4,512,0,0,0
531,1,1,2,21,22,9,5,513,0,0,0
531,1,1,2,21,22,3,6,514,0,0,0
531,1,1,2,21,22,19,7,515,0,1,0
531,1,1,2,21,22,5,8,516,0,0,1
531,1,1,2,21,22,10,9,517,0,0,0
531,1,1,2,21,22,15,10,518,0,0,0
531,1,1,2,21,22,7,11,519,0,0,0
531,1,1,2,21,22,18,12,520,0,0,1
531,1,1,2,21,22,17,13,521,0,0,0
531,1,1,2,21,22,13,14,522,0,0,0
531,1,1,2,21,22,14,15,523,0,1,0
531,1,1,2,21,22,20,16,524,1,1,1
531,1,1,2,21,22,4,17,525,0,0,0
531,1,1,2,21,22,1,18,526,0,1,0
531,1,1,2,21,22,22,19,527,0,0,0
531,1,1,2,21,22,6,20,528,0,0,0
531,1,1,2,21,22,12,21,529,0,1,0
531,1,1,2,21,22,11,22,530,0,1,0
509,1,0,2,21,22,8,1,531,0,1,0
509,1,0,2,21,22,5,2,532,0,1,0
509,1,0,2,21,22,20,3,533,0,0,0
509,1,0,2,21,22,7,4,534,0,1,0
509,1,0,2,21,22,4,5,535,1,1,1
509,1,0,2,21,22,19,6,536,0,0,1
509,1,0,2,21,22,9,7,537,1,1,1
509,1,0,2,21,22,14,8,538,1,1,1
509,1,0,2,21,22,18,9,539,0,0,0
509,1,0,2,21,22,11,10,540,0,0,1
509,1,0,2,21,22,21,11,541,0,0,0
509,1,0,2,21,22,16,12,542,0,0,1
509,1,0,2,21,22,10,13,543,0,0,0
509,1,0,2,21,22,17,14,544,0,0,1
509,1,0,2,21,22,3,15,545,0,0,1
509,1,0,2,21,22,22,16,546,1,1,1
509,1,0,2,21,22,6,17,547,0,0,1
509,1,0,2,21,22,13,18,548,1,1,1
509,1,0,2,21,22,15,19,549,0,0,0
509,1,0,2,21,22,2,20,550,0,0,1
509,1,0,2,21,22,1,21,551,0,1,0
509,1,0,2,21,22,12,22,552,1,1,1
122,1,1,1,5,10,6,7,0,0,0,0
12,2,1,1,1,10,3,1,1,0,1,0
12,2,1,1,1,10,9,2,2,0,0,0
12,2,1,1,1,10,5,3,3,0,0,0
12,2,1,1,1,10,2,4,4,0,0,0
12,2,1,1,1,10,10,5,5,0,0,0
12,2,1,1,1,10,4,6,6,0,1,0
12,2,1,1,1,10,1,7,7,0,0,1
12,2,1,1,1,10,6,8,8,1,1,1
12,2,1,1,1,10,7,9,9,1,1,1
12,2,1,1,1,10,8,10,10,0,0,0
2,2,0,1,1,10,10,1,11,0,0,0
2,2,0,1,1,10,9,2,12,0,0,0
2,2,0,1,1,10,6,3,13,0,1,0
2,2,0,1,1,10,1,4,14,1,1,1
2,2,0,1,1,10,3,5,15,0,1,0
2,2,0,1,1,10,2,6,16,0,1,0
2,2,0,1,1,10,7,7,17,0,0,1
2,2,0,1,1,10,8,8,18,0,1,0
2,2,0,1,1,10,4,9,19,1,1,1
2,2,0,1,1,10,5,10,20,0,0,1
41,2,1,2,2,19,10,1,21,0,0,0
41,2,1,2,2,19,12,2,22,0,0,0
41,2,1,2,2,19,8,3,23,0,0,0
41,2,1,2,2,19,15,4,24,0,0,0
41,2,1,2,2,19,17,5,25,0,0,1
41,2,1,2,2,19,18,6,26,0,0,1
41,2,1,2,2,19,9,7,27,0,0,1
41,2,1,2,2,19,6,8,28,0,0,1
