round,order,age,field_cd,race,goal,date,career_c,exphappy,round_p,order_p,age_p,field_cd_p,race_p,goal_p,date_p,career_c_p,exphappy_p,int_corr,match
10,6,23,1,4,1,3,1,4,10,6,23,1,2,2,4,1,8,0.12,1
14,6,22,1,1,1,7,1,5,11,5,25,13,2,2,6,9,3,-0.08,0
18,6,25,1,6,1,3,1,5,18,6,22,8,4,3,4,7,7,-0.19,0
16,6,24,1,2,1,4,1,5,19,7,25,8,4,1,3,7,6,-0.57,1
10,6,24,1,4,3,6,10,6,10,6,28,8,2,6,6,7,3,0.02,0
11,6,25,1,2,4,6,1,6,14,8,23,11,2,1,4,11,5,-0.06,1
19,6,21,1,2,2,3,1,7,18,5,23,5,2,2,6,2,7,0.44,1
10,6,22,1,4,1,5,1,7,10,6,28,8,2,4,1,7,10,-0.34,1
20,6,30,1,2,1,4,1,9,18,5,26,6,2,2,6,9,2,0.24,1
10,6,21,1,2,5,6,14,9,10,6,28,7,2,1,5,2,5,-0.47,1
10,7,23,1,2,1,5,1,1,10,7,28,8,2,4,1,7,10,-0.47,1
16,7,24,1,3,5,6,1,2,19,8,23,1,2,1,5,1,3,-0.46,0
16,7,23,1,2,1,7,1,3,19,7,23,1,2,1,5,1,3,-0.27,0
10,7,21,1,4,2,7,1,3,10,7,24,1,3,1,4,1,5,0.21,1
10,7,22,1,6,6,5,1,5,10,7,28,7,2,1,5,2,5,-0.04,0
18,7,25,1,1,2,7,1,5,18,7,29,9,2,5,6,7,5,0.03,1
18,7,25,1,6,1,3,1,5,18,7,26,8,2,2,4,7,6,0.12,1
16,7,24,1,2,1,4,1,5,19,9,27,1,1,6,6,1,5,-0.04,1
10,7,22,1,4,1,5,1,7,10,7,24,8,2,1,1,7,6,-0.16,0
10,8,23,1,2,1,5,1,1,10,8,24,8,2,1,1,7,6,-0.19,0
16,8,23,1,1,1,4,1,2,19,8,24,3,2,1,3,2,7,-0.16,0
10,8,21,1,4,2,7,1,3,10,8,28,8,2,4,1,7,10,0.28,1
18,8,25,1,6,1,3,1,5,18,8,28,1,2,3,3,1,8,0.6,1
16,8,33,1,2,2,7,1,6,16,8,29,8,1,2,5,8,6,0.01,0
10,8,22,1,6,1,3,1,6,10,8,20,3,6,1,3,11,4,-0.29,1
11,8,27,1,4,2,6,1,6,14,12,28,11,2,4,6,11,4,0.27,1
19,8,21,1,2,2,3,1,7,18,7,31,8,2,2,4,7,9,0.47,1
16,9,24,1,3,5,6,1,2,19,10,24,3,2,1,3,2,7,-0.01,0
10,9,21,1,4,2,7,1,3,10,9,24,8,2,1,1,7,6,-0.36,0
16,9,23,1,2,1,7,1,3,19,9,24,3,2,1,3,2,7,-0.27,0
10,9,23,1,4,1,3,1,4,10,9,28,8,2,4,1,7,10,0.46,1
18,9,25,1,6,1,3,1,5,18,9,22,1,3,5,7,1,5,0.31,1
10,9,24,1,4,3,6,10,6,10,9,21,1,2,5,6,14,9,-0.32,0
16,10,23,1,1,1,4,1,2,19,10,23,1,1,6,4,1,7,0.11,1
10,10,21,1,4,2,7,1,3,10,10,22,1,4,2,7,1,3,0.16,1
18,10,25,1,6,1,3,1,5,18,10,32,10,2,1,4,2,6,-0.21,0
18,10,25,1,1,2,7,1,5,18,10,30,11,2,2,6,9,4,-0.14,0
10,10,24,1,6,6,5,1,5,10,10,28,7,2,1,5,2,5,0.28,1
10,10,22,1,6,6,5,1,5,10,10,24,1,4,3,6,10,6,0.03,1
10,10,22,1,6,1,3,1,6,10,10,21,13,2,1,1,10,7,0.08,1
10,10,21,1,2,2,4,1,7,10,10,22,1,2,1,1,1,7,0,0
20,10,30,1,2,1,4,1,9,18,8,22,3,2,1,6,3,7,-0.03,1
16,11,24,1,3,5,6,1,2,19,12,23,1,1,6,4,1,7,-0.08,0
16,11,23,1,2,1,7,1,3,19,11,23,1,1,6,4,1,7,0.49,1
18,11,25,1,1,2,7,1,5,18,11,27,8,2,1,7,2,5,-0.22,0
16,11,33,1,2,2,7,1,6,16,11,22,2,2,1,4,2,3,-0.03,0
19,11,21,1,2,2,3,1,7,18,10,26,8,2,5,4,7,3,0.21,1
16,12,23,1,1,1,4,1,2,19,13,25,8,4,1,3,7,6,-0.36,1
19,12,21,1,2,1,4,1,5,16,11,30,3,2,6,6,6,4,-0.22,0
19,12,30,1,4,2,6,1,7,16,9,27,9,1,1,6,5,4,-0.23,0
19,12,21,1,2,2,3,1,7,18,11,27,8,2,1,5,7,5,0.12,1
16,13,24,1,3,5,6,1,2,19,15,25,8,4,1,3,7,6,-0.32,0
16,13,23,1,1,1,4,1,2,19,15,27,1,1,6,6,1,5,0.41,1
16,13,23,1,2,1,7,1,3,19,14,25,8,4,1,3,7,6,0.16,1
14,13,23,1,2,1,6,1,5,11,9,23,1,6,1,3,1,5,0.78,1
19,13,30,1,4,2,6,1,7,16,10,24,1,2,1,4,1,5,-0.43,0
16,14,24,1,3,5,6,1,2,19,17,27,1,1,6,6,1,5,0.02,0
14,14,23,1,2,1,6,1,5,11,10,22,1,2,1,2,7,3,0,1
14,14,22,1,1,1,7,1,5,11,10,23,1,6,1,3,1,5,0.01,1
18,14,25,1,6,1,3,1,5,18,14,25,14,4,1,4,6,5,0.62,1
18,14,25,1,1,2,7,1,5,18,14,25,9,6,1,3,2,7,-0.08,1
16,14,33,1,2,2,7,1,6,16,14,27,8,2,1,3,7,5,-0.01,0
19,14,21,1,2,2,3,1,7,18,13,29,2,4,3,4,7,6,-0.05,0
18,15,25,1,1,2,7,1,5,18,15,22,3,2,2,7,2,6,-0.06,1
16,15,24,1,2,1,4,1,5,19,18,30,8,2,1,6,2,8,-0.27,0
19,15,30,1,4,2,6,1,7,16,12,27,11,2,2,6,9,5,-0.07,0
19,15,21,1,2,2,3,1,7,18,14,24,13,3,2,7,9,6,0.32,1
21,16,32,1,2,4,5,2,3,21,16,24,5,6,4,6,7,10,0,0
16,16,24,1,2,1,4,1,5,19,19,23,1,2,1,5,1,3,-0.35,0
19,16,30,1,4,2,6,1,7,16,13,27,3,2,2,6,7,7,-0.14,0
19,16,21,1,2,2,3,1,7,18,15,30,13,1,4,5,9,6,-0.04,0
18,18,25,1,6,1,3,1,5,18,18,21,7,2,1,4,2,6,0.42,1
18,18,25,1,1,2,7,1,5,18,18,22,11,2,1,4,11,6,-0.28,1
20,18,30,1,2,1,4,1,9,18,16,33,3,2,1,4,7,6,0.08,1
19,19,21,1,2,1,4,1,5,16,16,27,9,1,1,6,5,4,0.03,0
20,19,30,1,2,1,4,1,9,18,17,32,10,2,3,2,4,5,0.62,1
22,20,22,1,2,1,6,1,5,22,20,28,8,2,1,7,7,5,0.29,1
22,22,22,1,2,1,6,1,5,22,22,23,5,4,1,7,4,5,-0.16,1
6,1,24,2,4,5,7,2,5,7,1,25,10,1,1,5,2,6,0.05,1
16,2,26,2,2,2,5,4,6,19,2,23,1,1,6,4,1,7,-0.12,0
20,3,22,2,2,2,6,2,3,20,3,26,10,2,5,4,2,3,0.08,1
6,3,36,2,4,3,5,10,7,7,4,26,10,2,5,4,2,4,-0.06,1
6,4,24,2,4,5,7,2,5,7,5,26,10,2,5,4,2,4,-0.1,0
16,4,26,2,2,2,5,4,6,19,5,25,8,4,1,3,7,6,0,1
21,4,22,2,2,1,6,2,7,21,4,29,3,2,6,6,10,1,-0.06,0
6,5,24,2,4,5,7,2,5,7,6,24,10,2,1,7,2,6,-0.06,0
16,5,26,2,2,2,5,4,6,19,7,27,1,1,6,6,1,5,-0.02,0
21,6,22,2,2,1,6,2,7,21,6,32,1,2,4,5,2,3,-0.08,0
16,7,22,2,2,1,4,2,3,16,7,28,13,2,3,3,9,3,0.09,1
10,7,25,2,4,1,7,6,6,10,7,24,11,2,1,7,6,5,-0.01,0
16,7,25,2,2,1,6,7,7,19,8,30,8,2,1,6,2,8,-0.21,0
21,8,22,2,2,1,6,2,7,21,8,26,10,4,1,3,4,4,-0.59,0
10,9,25,2,4,1,7,6,6,10,9,22,4,1,1,5,2,4,0.62,1
21,9,22,2,2,1,6,2,7,21,9,25,10,2,2,7,2,5,-0.11,0
16,10,22,2,2,1,4,2,3,16,10,24,13,2,1,5,2,7,-0.21,1
16,13,22,2,2,1,4,2,3,16,13,27,13,4,1,4,2,5,-0.15,0
16,14,26,2,2,2,5,4,6,19,17,23,1,2,1,5,1,3,-0.47,1
16,14,25,2,2,1,6,7,7,19,16,25,8,4,1,3,7,6,0.18,1
20,15,27,2,2,2,6,2,3,20,15,27,10,2,1,2,2,8,0.03,0
16,15,25,2,2,1,6,7,7,19,18,27,1,1,6,6,1,5,0.27,1
21,16,22,2,2,1,6,2,7,21,16,27,10,4,2,7,2,6,-0.01,0
18,17,29,2,4,3,4,7,6,19,18,25,15,4,2,7,6,4,-0.41,0
20,18,22,2,2,6,6,2,3,20,18,25,13,6,1,5,6,10,-0.52,0
20,19,22,2,2,2,6,2,3,20,19,25,13,6,1,5,6,10,-0.15,0
20,20,27,2,2,2,6,2,3,20,20,22,2,2,6,6,2,3,-0.04,0
21,21,22,2,2,1,6,2,7,21,21,26,10,4,1,7,4,6,-0.5,0
22,22,29,2,2,1,5,7,8,22,22,22,5,4,2,7,10,8,-0.01,0
16,1,30,3,2,6,6,6,4,19,1,27,1,1,6,6,1,5,-0.46,0
19,1,24,3,2,2,4,3,4,18,1,29,8,2,2,4,7,7,0.29,1
16,1,21,3,4,1,1,3,5,19,1,28,8,2,2,6,7,7,-0.1,1
16,1,22,3,3,1,6,9,5,19,2,28,8,2,2,6,7,7,-0.27,0
9,1,30,3,3,2,6,3,6,10,1,23,8,2,1,3,7,7,-0.05,0
18,1,22,3,2,1,6,3,7,20,1,25,3,2,2,5,3,7,0.22,1
21,1,33,3,4,2,6,2,7,21,1,24,5,6,4,6,7,10,0.01,1
10,1,30,3,4,3,7,2,7,9,1,23,3,2,1,4,3,5,0.04,1
14,1,21,3,2,2,3,12,8,14,1,36,7,2,4,5,2,6,-0.35,0
21,2,27,3,2,6,5,2,2,21,2,32,1,2,4,5,2,3,0.41,1
16,2,21,3,4,1,1,3,5,19,2,25,8,4,1,3,7,6,-0.23,0
18,2,33,3,2,1,4,7,6,20,2,29,8,3,2,5,7,9,0.24,1
10,2,30,3,4,3,7,2,7,9,1,25,5,4,2,4,2,8,0.33,1
20,2,24,3,2,3,3,3,7,20,2,23,8,2,2,3,6,3,-0.07,0
14,2,21,3,2,2,3,12,8,14,2,32,9,2,3,3,2,7,-0.3,0
10,3,21,3,2,5,7,2,2,10,3,22,5,2,6,5,6,1,-0.36,0
10,3,29,3,6,4,6,6,4,10,3,21,1,2,5,6,14,9,-0.34,0
10,3,20,3,6,1,3,11,4,10,3,22,7,2,4,6,4,6,0.3,1
21,3,27,3,2,1,6,2,5,21,3,26,3,1,1,6,10,1,0.18,1
16,3,22,3,3,1,6,9,5,19,5,27,1,1,6,6,1,5,-0.23,1
15,3,29,3,1,2,6,2,6,15,3,25,13,6,1,6,2,4,-0.12,0
9,3,26,3,3,3,7,2,6,9,3,27,16,2,2,6,2,6,0.31,1
19,3,25,3,2,2,7,3,6,18,3,26,8,2,5,4,7,3,0.34,1
10,3,24,3,2,1,3,2,6,9,3,23,3,2,1,4,3,5,-0.12,1
16,3,27,3,2,2,6,7,7,19,3,23,1,2,1,5,1,3,-0.47,0
18,3,22,3,2,1,6,3,7,20,3,30,8,2,1,2,10,8,-0.1,1
18,3,24,3,6,2,6,3,7,20,3,25,3,2,2,5,3,7,0.38,1
21,4,26,3,1,1,6,10,1,21,4,28,8,4,1,4,7,7,0.18,1
8,4,25,3,3,6,4,3,3,6,3,24,8,2,2,2,13,7,0.55,1
10,4,21,3,2,1,5,3,3,10,4,22,5,2,6,5,6,1,-0.09,1
5,4,26,3,2,1,7,2,6,5,4,26,8,4,1,4,8,7,-0.1,0
9,4,26,3,3,3,7,2,6,9,4,33,7,6,6,4,10,5,0.44,1
9,4,34,3,4,2,2,2,9,10,4,29,8,4,1,5,4,5,-0.17,0
21,5,26,3,1,1,6,10,1,21,5,27,10,4,1,3,4,6,-0.2,0
10,5,21,3,2,5,7,2,2,10,5,21,5,2,1,3,5,5,-0.15,0
10,5,21,3,2,1,5,3,3,10,5,21,4,2,1,3,4,6,0.71,1
15,5,29,3,1,2,6,2,6,15,5,30,10,1,1,6,2,9,-0.3,0
19,5,24,3,2,1,3,2,7,16,5,27,3,2,2,6,7,7,0.31,1
21,6,27,3,2,6,5,2,2,21,6,23,10,4,2,5,2,5,0.47,1
16,6,30,3,2,6,6,6,4,19,7,28,4,2,2,6,4,6,-0.24,0
20,6,32,3,2,6,7,15,5,20,6,25,7,4,1,1,2,6,0,0
16,6,22,3,3,1,6,9,5,19,9,30,1,4,2,6,1,7,-0.04,0
19,6,25,3,2,2,7,3,6,18,6,29,2,4,3,4,7,6,-0.22,0
15,6,29,3,1,2,6,2,6,15,6,34,10,4,2,6,2,7,-0.12,0
18,6,22,3,2,2,7,2,6,18,6,32,10,2,1,4,2,6,-0.28,0
9,6,26,3,3,3,7,2,6,9,6,25,6,6,4,2,2,7,0.67,1
18,6,33,3,2,1,4,7,6,20,6,27,8,2,5,7,9,6,0.01,1
21,6,33,3,4,2,6,2,7,21,6,27,5,4,1,4,7,5,-0.29,0
18,6,22,3,2,1,6,3,7,20,8,27,8,2,1,4,6,5,-0.02,1
19,7,26,3,2,2,7,3,4,18,7,29,2,4,3,4,7,6,-0.36,0
16,7,30,3,2,6,6,6,4,19,8,28,8,2,5,5,7,7,-0.29,0
16,7,22,3,3,1,6,9,5,19,10,23,5,4,2,7,5,6,-0.07,0
19,7,25,3,2,2,7,3,6,18,7,24,13,3,2,7,9,6,-0.01,1
9,7,30,3,3,2,6,3,6,10,8,27,5,6,1,4,7,2,0.63,1
16,7,27,3,2,2,6,7,7,19,7,23,1,1,6,4,1,7,-0.27,0
18,7,24,3,2,1,4,3,7,20,9,27,8,2,1,4,6,5,0.53,1
18,7,22,3,2,1,6,3,7,20,9,27,8,3,3,4,7,6,0.6,1
21,8,26,3,1,1,6,10,1,21,8,24,3,3,3,4,2,6,0.72,1
8,8,29,3,2,1,5,3,5,6,6,26,8,2,2,4,7,8,0.71,1
9,8,22,3,6,3,7,2,5,9,8,33,7,6,6,4,10,5,-0.12,0
16,8,22,3,3,1,6,9,5,19,11,28,4,2,2,6,4,6,-0.07,0
16,9,27,3,4,1,4,2,3,19,10,23,1,2,1,5,1,3,-0.41,0
16,9,30,3,2,6,6,6,4,19,10,30,8,2,1,6,2,8,-0.18,0
21,9,27,3,2,1,6,2,5,21,9,24,7,2,2,6,2,6,0.42,1
16,9,22,3,3,1,6,9,5,19,12,28,8,2,5,5,7,7,-0.06,0
14,9,28,3,2,1,7,12,6,14,9,30,8,2,1,4,7,7,0.61,1
20,9,24,3,2,3,3,3,7,20,9,25,13,6,1,5,6,10,-0.22,0
16,9,27,3,2,2,6,7,7,19,10,25,8,4,1,3,7,6,-0.01,0
18,9,24,3,6,2,6,3,7,20,11,27,8,3,3,4,7,6,0.33,1
10,10,35,3,4,2,4,4,5,10,10,24,8,2,1,6,7,4,-0.11,0
18,10,22,3,2,2,7,2,6,18,10,25,14,4,1,4,6,5,0.73,1
16,10,27,3,2,2,6,7,7,19,12,27,1,1,6,6,1,5,0.02,0
19,11,26,3,2,2,7,3,4,18,11,24,1,2,2,5,1,6,-0.22,1
20,11,32,3,2,6,7,15,5,20,11,27,8,3,1,5,7,5,0.32,1
16,11,22,3,3,1,6,9,5,19,14,30,8,2,1,6,2,8,-0.28,0
18,11,22,3,2,1,6,3,7,20,13,27,8,2,2,5,10,5,0.54,1
21,12,26,3,1,1,6,10,1,21,12,34,10,2,2,5,2,5,0.31,1
16,12,30,3,2,6,6,6,4,19,13,24,3,2,1,3,2,7,-0.15,0
20,12,32,3,2,6,7,15,5,20,12,22,2,2,6,6,2,3,-0.07,0
16,12,21,3,4,1,1,3,5,19,14,23,1,2,1,5,1,3,-0.57,0
14,12,28,3,2,1,7,12,6,14,12,26,9,2,6,7,2,7,-0.27,0
19,12,25,3,2,2,7,3,6,18,12,27,8,2,1,5,7,4,-0.09,1
19,12,24,3,2,1,3,2,7,16,11,27,3,4,1,4,2,3,-0.11,0
18,12,24,3,6,2,6,3,7,20,14,29,8,2,6,5,7,6,-0.26,0
14,12,21,3,2,2,3,12,8,14,12,23,15,2,2,4,6,5,-0.13,0
21,13,27,3,2,6,5,2,2,21,13,24,4,3,5,6,4,5,0.02,0
19,13,24,3,2,2,4,3,4,18,12,23,5,2,2,6,2,7,-0.04,0
15,13,29,3,1,2,6,2,6,15,13,25,5,3,2,4,5,4,-0.05,0
21,14,29,3,2,6,6,10,1,21,14,24,5,6,4,6,7,10,-0.09,0
16,14,30,3,2,6,6,6,4,19,15,23,1,1,6,4,1,7,-0.15,0
16,14,21,3,4,1,1,3,5,19,16,24,3,2,1,3,2,7,-0.17,1
18,14,24,3,6,2,6,3,7,20,16,29,8,3,2,5,7,9,-0.17,0
21,15,26,3,1,1,6,10,1,21,15,28,13,1,1,2,7,6,-0.2,1
16,15,27,3,4,1,4,2,3,19,17,25,8,4,1,3,7,6,0,0
16,15,30,3,2,6,6,6,4,19,17,28,8,2,2,6,7,7,-0.41,0
21,16,26,3,1,1,6,10,1,21,16,27,5,4,1,4,7,5,-0.27,0
16,16,30,3,2,6,6,6,4,19,18,25,8,4,1,3,7,6,-0.15,0
20,16,32,3,2,6,7,15,5,20,16,25,10,1,2,4,7,5,0.02,1
16,16,22,3,3,1,6,9,5,19,19,23,1,1,6,4,1,7,-0.16,0
19,16,25,3,2,2,7,3,6,18,15,23,5,2,2,5,7,7,-0.06,1
18,16,22,3,2,1,6,3,7,20,18,27,8,2,5,7,9,6,0.43,1
20,17,32,3,2,6,7,15,5,20,17,31,8,1,1,5,9,6,0.59,1
19,17,25,3,2,2,7,3,6,18,16,23,5,2,2,6,2,7,-0.06,0
19,18,26,3,2,2,7,3,4,18,17,23,5,2,2,6,2,7,-0.07,0
19,18,25,3,2,2,7,3,6,18,17,22,5,2,5,5,7,6,-0.1,0
18,18,24,3,6,2,6,3,7,20,20,27,8,2,5,7,9,6,0.37,1
20,19,32,3,2,6,7,15,5,20,19,25,8,2,1,7,9,5,0.38,1
21,19,27,3,2,1,6,2,5,21,19,24,4,3,5,6,4,5,0.56,1
21,19,33,3,4,2,6,2,7,21,19,24,3,3,3,4,2,6,0.5,1
15,1,29,4,4,1,4,4,4,15,1,29,8,4,3,2,7,5,0.56,1
10,1,22,4,1,1,5,2,4,10,1,25,1,4,1,6,1,4,0.54,1
15,1,30,4,4,2,5,4,5,15,1,28,8,2,3,2,7,6,0.04,1
15,2,29,4,4,1,4,4,4,15,2,28,8,2,3,2,7,6,0.26,1
10,2,21,4,2,1,3,4,6,10,2,21,13,2,1,1,10,7,0.62,1
21,2,24,4,4,2,6,4,6,21,2,25,10,2,3,4,2,7,-0.06,1
21,3,24,4,3,5,6,4,5,21,3,24,3,3,3,4,2,6,-0.22,1
21,3,24,4,4,2,6,4,6,21,3,28,8,3,2,5,7,6,-0.11,0
22,3,25,4,4,2,7,4,6,22,3,30,8,2,1,6,7,7,-0.36,1
15,4,29,4,4,1,4,4,4,15,4,20,13,4,5,6,13,10,0.01,0
21,4,24,4,3,5,6,4,5,21,4,25,10,2,3,4,2,7,0.63,1
10,4,22,4,1,1,4,4,6,10,4,34,8,2,2,4,7,9,-0.34,0
22,4,25,4,4,2,7,4,6,22,4,32,5,2,1,4,7,6,0.37,1
21,5,24,4,3,5,6,4,5,21,5,28,8,3,2,5,7,6,0.06,1
19,5,28,4,2,2,6,4,6,16,4,25,2,2,1,6,7,7,-0.2,1
22,5,25,4,4,2,7,4,6,22,5,28,8,2,1,7,7,5,0.16,1
21,6,24,4,3,5,6,4,5,21,6,24,5,6,4,6,7,10,-0.33,0
22,6,25,4,4,2,7,4,6,22,6,23,5,4,2,5,7,8,0.33,1
21,7,24,4,3,5,6,4,5,21,7,34,10,2,2,5,2,5,0.23,1
21,8,24,4,3,5,6,4,5,21,8,26,10,2,2,4,2,4,0.06,1
22,8,25,4,4,2,7,4,6,22,8,22,1,2,1,4,1,7,0.2,1
21,9,24,4,4,2,6,4,6,21,9,27,5,4,1,4,7,5,-0.58,0
22,9,25,4,4,2,7,4,6,22,9,29,2,2,1,5,7,8,0.51,1
10,9,21,4,2,1,3,4,6,10,9,19,16,3,1,3,1,4,0.77,1
21,10,24,4,3,5,6,4,5,21,10,28,13,1,1,2,7,6,0.43,1
10,10,21,4,2,1,3,4,6,10,10,20,3,6,1,3,11,4,0.34,1
22,11,25,4,4,2,7,4,6,22,11,23,5,4,3,7,7,7,-0.2,0
22,12,25,4,4,2,7,4,6,22,12,30,8,2,2,4,7,8,0.02,1
22,17,25,4,4,2,7,4,6,22,17,26,5,4,1,2,5,6,-0.27,1
22,18,25,4,4,2,7,4,6,22,18,30,8,2,2,3,7,6,0.3,1
21,18,24,4,4,2,6,4,6,21,18,28,8,4,1,4,7,7,-0.13,1
21,19,24,4,4,2,6,4,6,21,19,27,10,4,1,3,4,6,-0.3,0
22,19,25,4,4,2,7,4,6,22,19,24,5,6,3,5,5,9,-0.17,1
22,20,25,4,4,2,7,4,6,22,20,25,5,4,2,7,2,7,-0.15,1
10,1,22,5,2,6,5,6,1,10,1,21,13,2,1,1,10,7,-0.42,1
5,1,24,5,4,1,6,2,5,5,1,26,8,4,1,4,8,7,-0.15,0
10,1,18,5,4,2,5,4,5,10,1,19,16,3,1,3,1,4,-0.33,0
10,1,21,5,2,1,3,5,5,10,1,20,3,6,1,3,11,4,0.44,1
22,1,23,5,4,2,7,7,6,22,1,24,5,6,3,5,5,9,0.28,1
22,1,32,5,2,1,4,7,6,22,1,26,11,2,1,3,9,6,0.33,1
15,1,27,5,3,1,4,5,7,15,1,29,3,1,2,6,2,6,-0.2,0
6,1,27,5,6,1,7,4,7,6,1,24,10,4,1,6,2,4,-0.31,0
15,2,26,5,2,1,4,5,4,15,2,20,13,4,5,6,13,10,-0.14,0
10,2,18,5,4,2,5,4,5,10,2,20,3,6,1,3,11,4,-0.37,0
21,2,23,5,1,1,4,7,5,21,2,24,7,2,2,6,2,6,-0.18,0
10,2,28,5,2,1,5,5,5,9,2,34,3,4,2,2,2,9,0.57,1
18,2,26,5,4,2,7,5,5,18,2,27,10,2,2,5,2,8,0.42,1
6,2,24,5,4,2,6,2,6,8,4,29,3,2,1,5,3,5,-0.55,0
6,2,27,5,6,1,7,4,7,6,2,27,15,2,2,7,2,5,0.03,0
6,2,23,5,2,2,5,7,7,7,2,26,10,2,5,4,2,4,0.59,1
22,2,24,5,2,1,7,2,7,22,2,26,8,3,2,7,2,5,0.36,1
9,2,22,5,4,1,7,10,7,10,2,23,8,2,1,3,7,7,0.08,1
10,2,24,5,4,1,7,2,7,10,2,22,4,1,1,5,2,4,0.44,1
21,2,32,5,2,1,3,2,8,21,2,24,4,3,5,6,4,5,-0.07,0
6,2,33,5,4,4,6,2,8,6,2,29,8,4,1,4,7,5,-0.44,1
22,3,22,5,4,2,4,5,5,22,3,23,5,4,3,7,7,7,-0.14,0
10,3,21,5,2,1,3,5,5,10,3,21,13,2,1,1,10,7,-0.31,0
9,3,25,5,4,2,4,2,8,10,4,24,3,2,1,3,2,6,-0.06,0
22,3,24,5,6,3,5,5,9,22,3,24,15,2,2,4,3,6,-0.4,0
15,4,26,5,2,1,4,5,4,15,4,24,6,4,1,5,2,5,-0.07,0
10,4,18,5,4,2,5,4,5,10,4,21,13,2,1,1,10,7,-0.41,0
18,4,26,5,4,2,7,5,5,18,4,21,7,2,1,4,2,6,0.52,1
10,4,28,5,2,1,5,5,5,9,4,36,9,1,2,6,2,8,-0.09,1
6,4,24,5,4,2,6,2,6,8,6,25,3,3,6,4,3,3,-0.13,1
20,4,23,5,4,3,6,7,7,18,2,21,9,4,2,6,2,5,0.05,1
10,4,24,5,4,1,7,2,7,10,4,28,8,4,2,6,7,7,0.5,1
22,4,24,5,4,1,7,5,8,22,4,23,5,4,2,7,7,6,-0.33,0
10,5,27,5,6,1,4,7,2,9,5,36,9,1,2,6,2,8,0.48,1
18,5,26,5,4,2,7,5,5,18,5,25,1,1,2,7,1,5,0.03,0
