iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,match
164,7,1,14,2,7,16,9,6,1,142,-0.59,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,27,7,2,1,1,1,6,2,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,20.51,23.08,20.51,17.95,2.56,15.38,21.88,15.63,15.63,15.63,15.63,15.63,7,9,6,9,4,0
142,1,0,1,2,7,16,9,5,12,169,-0.59,1,28,2,17.78,20,17.78,15.56,15.56,13.33,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,7,1
142,1,0,1,2,7,16,9,6,7,164,-0.59,1,27,2,20.51,23.08,20.51,17.95,2.56,15.38,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,7,0
73,8,1,16,1,3,10,4,4,2,57,-0.58,1,22,2,10,20,20,20,15,15,22,8,2,7,3,6,4,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2,30,10,20,30,0,10,20,10,20,30,10,10,7,7,8,7,8,0
538,8,1,16,2,21,22,2,17,22,530,-0.58,0,22,4,20,20,10,15,5,30,32,5,2,1,1,1,4,2,7,8,2,8,8,8,8,8,8,6,8,5,4,6,3,6,6,6,6,50,0,10,30,0,10,40,20,0,30,10,0,7,8,9,8,8,0
387,9,0,17,2,15,19,13,4,14,410,-0.58,1,27,2,20,20,20,20,10,10,25,3,2,5,2,2,7,2,3,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2,6,20,15,25,15,15,10,30,15,20,15,10,10,8,8,8,8,8,0
256,5,0,9,2,11,21,7,9,11,283,-0.58,1,27,4,50,10,10,10,10,10,24,4,4,6,5,2,6,4,4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6,15,25,20,20,10,10,30,10,20,25,5,10,6,9,6,8,6,0
283,11,1,22,2,11,21,7,9,5,256,-0.58,1,24,4,15,25,20,20,10,10,27,5,4,1,1,1,4,2,7,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,5,50,10,10,10,10,10,30,10,30,10,10,10,9,9,9,9,9,0
57,2,0,3,1,3,10,4,4,8,73,-0.58,1,22,2,30,10,20,30,0,10,22,11,2,10,10,3,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,0
530,22,0,43,2,21,22,2,17,8,538,-0.58,0,32,2,50,0,10,30,0,10,22,5,4,1,1,2,7,3,10,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,8,20,20,10,15,5,30,40,10,10,10,10,20,3,9,9,9,7,0
410,14,1,28,2,15,18,13,4,9,387,-0.58,1,25,2,20,15,25,15,15,10,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,20,20,20,20,10,10,30,10,10,20,10,10,7,10,6,10,10,0
414,18,1,36,2,15,18,14,3,8,386,-0.57,1,26,2,15,10,30,10,15,20,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,95,1,1,1,1,1,95,1,1,1,1,1,95,1,1,1,1,0
29,9,0,17,2,2,16,9,11,2,41,-0.57,0,30,4,30,20,10,30,0,10,22,11,2,4,5,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,20,22,18,15,15,10,35,15,10,20,15,5,6,9,8,7,8,0
23,3,0,5,2,2,16,3,12,12,51,-0.57,0,23,2,25,10,35,15,0,15,21,3,4,9,6,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,10,20,40,10,10,10,40,5,20,20,5,10,5,8,6,7,8,0
41,2,1,4,2,2,19,9,14,9,29,-0.57,0,22,2,20,22,18,15,15,10,30,1,4,1,1,2,6,5,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,7,30,20,10,30,0,10,40,30,0,30,0,0,5,7,5,8,5,0
93,18,0,35,2,4,18,18,6,2,95,-0.57,1,26,2,18,18,18,19,13,14,29,5,2,2,2,1,5,1,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,14,20,18,24,18,6,30,15,15,20,10,10,8,8,8,8,7,1
31,11,0,21,2,2,16,8,6,10,49,-0.57,0,25,4,20,20,20,20,5,15,24,1,2,4,8,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5,35,10,20,20,10,5,40,10,10,25,5,10,8,8,9,8,9,1
386,8,0,15,2,15,19,14,3,18,414,-0.57,1,29,2,95,1,1,1,1,1,26,3,2,4,2,2,7,2,3,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4,15,10,30,10,15,20,40,5,10,20,10,15,7,8,9,9,9,0
159,2,1,4,2,7,16,9,2,1,142,-0.57,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,28,10,2,7,2,1,6,2,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,15.91,20.45,20.45,20.45,11.36,11.36,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,7,1
51,12,1,24,2,2,19,3,14,3,23,-0.57,0,21,4,10,20,40,10,10,10,23,1,2,5,10,1,5,3,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3,25,10,35,15,0,15,25,5,15,20,30,5,6,8,2,10,2,0
49,10,1,20,2,2,19,8,7,11,31,-0.57,0,24,2,35,10,20,20,10,5,25,8,4,1,3,1,3,2,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,6,20,20,20,20,5,15,30,15,15,15,15,10,7,10,10,10,8,1
142,1,0,1,2,7,16,9,2,2,159,-0.57,1,28,2,15.91,20.45,20.45,20.45,11.36,11.36,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,7,1
95,2,1,4,2,4,18,18,6,18,93,-0.57,1,29,2,14,20,18,24,18,6,26,8,2,7,5,1,5,2,7,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,6,18,18,18,19,13,14,16,15,19,23,14,13,7,9,8,10,7,1
414,18,1,36,2,15,18,6,13,18,396,-0.56,0,25,4,15,18,18,18,15,16,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,95,1,1,1,1,1,95,1,1,1,1,1,95,1,1,1,1,1
73,8,1,16,1,3,10,9,9,6,61,-0.56,1,28,2,15,15,20,15,15,20,22,8,2,7,3,6,4,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2,30,10,20,30,0,10,20,10,20,30,10,10,7,7,8,7,8,0
228,15,1,30,2,9,20,4,16,14,207,-0.56,0,23,2,17.31,13.46,17.31,19.23,19.23,13.46,24,10,4,1,4,3,7,3,2,3,1,2,8,4,5,8,4,6,9,2,4,7,8,9,2,8,7,13.51,18.92,21.62,13.51,13.51,18.92,15.38,10.26,20.51,20.51,15.38,17.95,5,8,4,7,8,0
207,14,0,27,2,9,20,4,16,15,228,-0.56,0,24,4,13.51,18.92,21.62,13.51,13.51,18.92,23,10,2,9,5,1,3,1,1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6,17.31,13.46,17.31,19.23,19.23,13.46,18.37,16.33,16.33,18.37,16.33,14.29,8,8,10,8,9,0
61,6,0,11,1,3,10,9,9,8,73,-0.56,1,22,2,30,10,20,30,0,10,28,7,2,1,5,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0
396,18,0,35,2,15,19,6,14,18,414,-0.56,0,29,2,95,1,1,1,1,1,25,15,4,1,5,2,7,2,6,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,4,15,18,18,18,15,16,20,15,15,18,14,18,8,10,10,10,8,1
424,3,1,6,1,16,6,8,2,2,417,-0.55,0,29,2,20,20,20,10,10,20,24,5,4,4,4,2,6,3,2,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,6,17,16,17,17,17,16,25,15,15,15,15,15,7,7,7,7,7,0
417,2,0,3,1,16,8,8,4,3,424,-0.55,0,24,4,17,16,17,17,17,16,29,3,2,1,1,1,5,3,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,5,20,20,20,10,10,20,25,10,10,20,15,20,7,8,4,8,8,0
353,13,0,25,2,14,18,13,14,15,375,-0.52,0,27,2,30,20,15,15,8,12,25,9,4,7,7,1,2,1,2,3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5,5,15,10,25,25,10,15,18,18,19,19,18,18,6,6,6,6,6,0
46,7,1,14,2,2,19,3,5,3,23,-0.52,0,21,4,10,20,40,10,10,10,26,8,2,2,3,2,6,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,7,20,35,20,10,10,5,20,20,20,25,5,10,7,8,5,7,7,0
23,3,0,5,2,2,16,3,4,7,46,-0.52,0,26,2,20,35,20,10,10,5,21,3,4,9,6,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,10,20,40,10,10,10,40,5,20,20,5,10,5,8,6,7,8,0
375,15,1,30,2,14,20,13,14,13,353,-0.52,0,25,4,15,10,25,25,10,15,27,8,2,3,2,1,3,1,1,9,8,5,8,4,4,2,2,7,5,6,5,6,3,6,7,3,5,30,20,15,15,8,12,30,10,10,15,25,10,8,9,9,8,9,0
22,2,0,3,2,2,16,7,15,12,51,-0.52,0,23,2,25,10,35,15,0,15,27,9,1,1,2,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,20,20,20,10,10,20,50,10,10,10,10,10,7,8,7,8,7,0
333,2,1,4,1,13,10,3,8,5,326,-0.52,0,36,1,15,15,15,20,20,15,23,8,2,5,3,1,3,1,7,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7,50,5,15,20,10,0,20,15,10,20,20,15,7,4,7,9,9,0
326,5,0,9,1,13,9,3,8,2,333,-0.52,0,23,2,50,5,15,20,10,0,36,9,1,5,5,2,6,4,2,2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,8,15,15,15,20,20,15,25,15,10,25,10,15,8,9,6,9,8,0
51,12,1,24,2,2,19,7,18,2,22,-0.52,0,27,1,20,20,20,10,10,20,23,1,2,5,10,1,5,3,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3,25,10,35,15,0,15,25,5,15,20,30,5,6,8,2,10,2,0
342,2,0,3,2,14,18,2,1,11,371,-0.52,0,27,2,40,0,10,50,0,0,33,9,3,2,1,1,6,3,2,3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4,2,40,15,25,5,15,0,70,5,5,15,5,0,10,10,10,10,10,0
203,10,0,19,2,9,20,11,18,7,220,-0.52,0,25,6,16.67,16.67,16.67,16.67,14.81,18.52,22,2,2,4,10,6,6,2,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,16,20,18,20,18,8,23.68,18.42,10.53,18.42,13.16,15.79,9,8,9,10,7,0
220,7,1,14,2,9,20,11,18,10,203,-0.52,0,22,2,16,20,18,20,18,8,25,13,6,1,1,1,5,2,6,9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,10,16.67,16.67,16.67,16.67,14.81,18.52,15.38,15.38,15.38,17.31,17.31,19.23,10,10,10,10,10,0
371,11,1,22,2,14,20,2,1,2,342,-0.52,0,33,3,40,15,25,5,15,0,27,8,2,3,1,5,7,1,9,10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,6,40,0,10,50,0,0,15,15,15,15,20,20,10,8,10,10,10,0
414,18,1,36,2,15,18,3,10,15,393,-0.51,1,22,2,8,20,25,25,12,10,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,95,1,1,1,1,1,95,1,1,1,1,1,95,1,1,1,1,1
267,16,0,31,2,11,21,21,2,11,283,-0.51,1,27,4,50,10,10,10,10,10,26,10,4,2,2,1,3,3,4,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,4,20,30,10,15,10,15,20,30,20,10,20,10,7,6,5,7,7,0
331,10,0,19,1,13,9,8,1,3,334,-0.51,0,29,4,40,10,15,10,10,15,34,9,2,1,1,1,6,3,2,4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,4,15,15,10,25,10,25,30,10,10,30,10,10,7,9,9,7,4,0
334,3,1,6,1,13,10,8,1,10,331,-0.51,0,34,2,15,15,10,25,10,25,29,8,4,1,1,1,5,3,4,9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,5,40,10,15,10,10,15,20,10,20,20,10,20,8,7,8,8,9,0
393,15,0,29,2,15,19,3,11,18,414,-0.51,1,29,2,95,1,1,1,1,1,22,6,2,4,8,1,7,1,6,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4,6,8,20,25,25,12,10,18,18,18,18,5,13,7,9,8,8,8,1
13,3,1,6,1,1,10,8,1,6,6,-0.51,1,23,4,10,25,20,25,5,15,22,1,4,3,5,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,0
133,2,0,3,1,6,5,3,3,2,138,-0.51,0,32,2,20,20,20,20,6.67,13.33,24,5,4,8,6,1,6,5,2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,0
138,2,1,4,1,6,5,3,3,2,133,-0.51,0,24,4,12.77,19.15,17.02,17.02,14.89,19.15,32,8,2,9,6,1,3,2,7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,20,20,20,20,6.67,13.33,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8,0
6,6,0,11,1,1,10,8,1,3,13,-0.51,1,22,4,19,18,19,18,14,12,23,1,4,1,1,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0
283,11,1,22,2,11,21,21,2,16,267,-0.51,1,26,4,20,30,10,15,10,15,27,5,4,1,1,1,4,2,7,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,5,50,10,10,10,10,10,30,10,30,10,10,10,9,9,9,9,9,0
168,11,1,22,2,7,16,9,11,1,142,-0.5,0,24,2,14.29,14.29,21.43,21.43,19.05,9.52,23,10,4,1,1,1,4,2,10,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,5,11.11,17.78,17.78,17.78,17.78,17.78,16.67,16.67,16.67,16.67,16.67,16.67,5,5,5,5,5,1
286,14,1,28,2,11,21,13,21,4,255,-0.5,0,26,4,16.67,16.67,16.67,16.67,16.67,16.67,22,2,2,4,7,1,6,3,2,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7,10,15,25,15,15,20,15,15,20,15,20,15,3,6,6,7,7,0
255,4,0,7,2,11,21,13,21,14,286,-0.5,0,22,2,10,15,25,15,15,20,26,10,4,3,1,1,7,3,4,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,6,16.67,16.67,16.67,16.67,16.67,16.67,50,10,10,10,10,10,6,8,6,7,6,0
233,20,1,40,2,9,20,6,16,2,195,-0.5,0,27,2,15.38,19.23,19.23,19.23,13.46,13.46,29,13,4,1,1,1,3,2,7,10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,7,14,20,18,16,14,18,14,20,14,18,16,18,7,8,8,7,8,1
117,6,0,11,1,5,10,2,7,7,128,-0.5,1,21,2,40,15,10,20,10,5,21,8,2,8,10,1,3,1,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6,20,10,20,20,20,10,20,10,15,20,15,20,8,7,8,8,8,0
384,6,0,11,2,15,19,16,7,14,410,-0.5,1,27,2,20,20,20,20,10,10,23,9,2,9,6,2,5,3,10,8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6,3,8,20,20,20,20,20,0,20,20,10,20,20,10,8,8,9,8,9,0
393,15,0,29,2,15,19,3,13,14,410,-0.5,1,27,2,20,20,20,20,10,10,22,6,2,4,8,1,7,1,6,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4,6,8,20,25,25,12,10,18,18,18,18,5,13,7,9,8,8,8,0
128,7,1,14,1,5,10,2,7,6,117,-0.5,1,21,2,20,10,20,20,20,10,21,5,2,3,1,1,3,2,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,25,15,20,20,10,10,8,7,7,8,7,0
145,4,0,7,2,7,16,14,15,16,173,-0.5,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,24,10,2,9,7,2,7,1,2,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5,11.36,18.18,22.73,18.18,11.36,18.18,22.22,13.33,17.78,20,8.89,17.78,5,5,7,9,7,0
173,16,1,32,2,7,16,14,15,4,145,-0.5,1,24,2,11.36,18.18,22.73,18.18,11.36,18.18,22,2,2,5,7,1,4,1,2,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,18.37,18.37,20.41,20.41,16.33,6.12,14.58,18.75,18.75,20.83,16.67,10.42,7,9,9,9,9,0
410,14,1,28,2,15,18,16,7,6,384,-0.5,1,23,2,20,20,20,20,20,0,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,20,20,20,20,10,10,30,10,10,20,10,10,7,10,6,10,10,0
410,14,1,28,2,15,18,3,12,15,393,-0.5,1,22,2,8,20,25,25,12,10,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,20,20,20,20,10,10,30,10,10,20,10,10,7,10,6,10,10,0
195,2,0,3,2,9,20,6,16,20,233,-0.5,0,29,4,14,20,18,16,14,18,27,10,2,3,9,1,2,1,2,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,15.38,19.23,19.23,19.23,13.46,13.46,22.73,15.91,18.18,18.18,11.36,13.64,9,8,10,10,8,1
142,1,0,1,2,7,16,9,11,11,168,-0.5,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,7,1
414,18,1,36,2,15,18,12,1,7,385,-0.49,1,25,2,25,20,20,20,10,5,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,95,1,1,1,1,1,95,1,1,1,1,1,95,1,1,1,1,1
